Cell,Age,Oxy,Sal,Period
352,5.3006,211.9733,35.9987,2016-18
353,5.6331,212.3415,35.9969,2016-18
354,5.2973,212.3473,35.9892,2016-18
355,7.5614,211.6776,35.9982,2016-18
356,6.7928,211.9444,35.9972,2016-18
357,7.1714,211.8714,36.0013,2016-18
358,8.7744,211.5094,36.0010,2016-18
359,7.8762,211.8078,36.0006,2016-18
360,8.2505,211.6911,36.0031,2016-18
361,12.2060,210.0390,35.9821,2016-18
362,13.1259,209.8166,35.9760,2016-18
363,14.3637,209.4870,35.9688,2016-18
364,12.0818,210.1566,35.9857,2016-18
365,10.8056,210.7283,35.9973,2016-18
366,11.8169,210.4140,35.9940,2016-18
367,9.8663,211.2172,36.0013,2016-18
368,10.7933,210.9107,36.0023,2016-18
369,9.0661,211.5481,36.0017,2016-18
370,9.6050,211.3765,36.0037,2016-18
371,20.8932,208.1314,35.8613,2016-18
372,19.7642,208.1883,35.8781,2016-18
373,19.1124,208.1002,35.8921,2016-18
374,19.0461,207.9368,35.9022,2016-18
375,18.5010,208.0924,35.9165,2016-18
376,16.1394,208.9913,35.9493,2016-18
377,17.9849,208.2152,35.9293,2016-18
378,15.9750,209.0475,35.9563,2016-18
379,4.5885,213.7713,35.9441,2016-18
380,4.6108,214.0278,35.9396,2016-18
381,4.7346,214.1848,35.9339,2016-18
382,4.6784,213.7260,35.9481,2016-18
383,4.7239,213.9765,35.9378,2016-18
384,4.5434,213.5677,35.9481,2016-18
385,4.6387,213.4795,35.9575,2016-18
386,4.6817,213.6198,35.9535,2016-18
387,4.7957,213.7619,35.9513,2016-18
388,4.8082,213.2227,35.9726,2016-18
389,4.7921,213.3583,35.9679,2016-18
390,5.1913,213.3649,35.9816,2016-18
391,4.9616,213.3328,35.9771,2016-18
392,4.8039,213.5246,35.9622,2016-18
393,4.7564,213.5480,35.9588,2016-18
394,5.6559,213.8997,35.9763,2016-18
395,3.9957,213.2187,35.9743,2016-18
396,4.0686,213.1624,35.9739,2016-18
397,4.1273,213.0433,35.9811,2016-18
398,4.3507,213.2756,35.9744,2016-18
399,4.4740,213.5778,35.9690,2016-18
400,4.6519,213.8292,35.9672,2016-18
401,4.6250,213.6242,35.9690,2016-18
402,4.3827,213.3570,35.9564,2016-18
403,4.2230,213.2038,35.9661,2016-18
404,4.1698,213.1437,35.9729,2016-18
405,4.8896,213.7480,35.9694,2016-18
406,4.9459,213.4999,35.9741,2016-18
407,4.7512,213.6773,35.9691,2016-18
408,4.9283,213.8001,35.9692,2016-18
409,5.0758,213.6088,35.9727,2016-18
410,5.1586,213.2551,35.9782,2016-18
411,5.0990,213.0144,35.9790,2016-18
412,5.2065,213.6226,35.9740,2016-18
413,5.2359,213.4482,35.9773,2016-18
414,5.2214,213.0638,35.9788,2016-18
415,5.1151,212.7471,35.9825,2016-18
416,5.2614,212.7790,35.9846,2016-18
417,5.2615,212.4847,35.9900,2016-18
418,6.4560,211.9527,35.9996,2016-18
419,6.6614,211.9692,35.9972,2016-18
420,6.1975,212.0634,35.9995,2016-18
421,6.1969,212.2184,35.9948,2016-18
422,6.0439,212.1691,36.0011,2016-18
423,6.0573,212.5419,35.9975,2016-18
424,6.0741,212.4008,35.9995,2016-18
425,6.0173,212.8356,35.9929,2016-18
426,6.1262,212.6809,35.9975,2016-18
427,5.6040,212.7479,35.9882,2016-18
428,5.9084,213.1509,35.9875,2016-18
429,5.5509,212.9195,35.9875,2016-18
430,7.3517,211.9900,36.0024,2016-18
431,7.7129,211.8890,36.0033,2016-18
432,7.0287,212.0125,36.0020,2016-18
433,7.2351,212.0091,36.0028,2016-18
434,8.4559,211.6824,36.0041,2016-18
435,8.9103,211.5850,36.0045,2016-18
436,8.0194,211.7684,36.0071,2016-18
437,8.3317,211.7234,36.0051,2016-18
438,12.8356,210.0023,35.9835,2016-18
439,14.0479,209.6694,35.9763,2016-18
440,15.1488,209.3914,35.9687,2016-18
441,12.5098,210.2770,35.9918,2016-18
442,13.6375,209.9273,35.9834,2016-18
443,11.5534,210.6599,36.0018,2016-18
444,12.5829,210.2930,35.9952,2016-18
445,10.0613,211.2468,36.0065,2016-18
446,10.6142,211.0375,36.0068,2016-18
447,11.1689,210.8571,36.0057,2016-18
448,11.9764,210.5669,36.0023,2016-18
449,9.2683,211.4740,36.0069,2016-18
450,9.9316,211.2968,36.0083,2016-18
451,22.7432,207.5597,35.8511,2016-18
452,21.6429,207.3498,35.8661,2016-18
453,20.7773,207.2831,35.8782,2016-18
454,20.4943,207.2233,35.8868,2016-18
455,19.9735,207.3252,35.8976,2016-18
456,19.7644,207.2581,35.9052,2016-18
457,17.3483,208.4941,35.9425,2016-18
458,18.2055,208.0804,35.9302,2016-18
459,19.8325,207.1485,35.9066,2016-18
460,16.6418,208.8728,35.9531,2016-18
461,4.7011,213.8825,35.9420,2016-18
462,4.7320,214.0215,35.9387,2016-18
463,4.7212,213.8091,35.9441,2016-18
464,4.7235,213.9727,35.9408,2016-18
465,4.8555,213.8101,35.9491,2016-18
466,4.7538,213.7854,35.9456,2016-18
467,4.4911,213.4998,35.9531,2016-18
468,4.3595,213.2961,35.9608,2016-18
469,4.7861,213.6462,35.9551,2016-18
470,4.8798,213.8013,35.9525,2016-18
471,5.0171,213.5745,35.9756,2016-18
472,4.9262,213.5669,35.9692,2016-18
473,4.8944,213.6332,35.9626,2016-18
474,5.4071,213.7554,35.9810,2016-18
475,5.2338,214.0402,35.9767,2016-18
476,5.7738,214.0975,35.9729,2016-18
477,4.8732,213.7148,35.9565,2016-18
478,4.2222,213.0917,35.9783,2016-18
479,4.2453,213.0958,35.9754,2016-18
480,4.2351,213.0871,35.9777,2016-18
481,4.4578,213.3557,35.9713,2016-18
482,4.5575,213.5732,35.9663,2016-18
483,4.5169,213.6192,35.9696,2016-18
484,4.6228,213.6700,35.9689,2016-18
485,4.6979,213.9216,35.9653,2016-18
486,4.8074,213.8546,35.9672,2016-18
487,4.2802,213.2480,35.9660,2016-18
488,4.3002,213.3052,35.9683,2016-18
489,4.1796,213.1643,35.9723,2016-18
490,4.2415,213.1932,35.9705,2016-18
491,4.3175,213.1908,35.9697,2016-18
492,5.0875,213.7630,35.9720,2016-18
493,4.9406,213.8947,35.9689,2016-18
494,5.0797,213.8934,35.9718,2016-18
495,5.2331,213.7217,35.9740,2016-18
496,5.3488,213.5571,35.9762,2016-18
497,5.3994,213.2851,35.9807,2016-18
498,5.3859,213.6996,35.9753,2016-18
499,5.4604,213.0637,35.9852,2016-18
500,6.8409,212.0697,36.0010,2016-18
501,6.5922,212.1285,35.9995,2016-18
502,6.6497,212.2135,35.9983,2016-18
503,6.5855,212.2700,36.0010,2016-18
504,6.4583,212.3578,36.0041,2016-18
505,6.5504,212.6646,36.0012,2016-18
506,6.5160,212.9177,35.9960,2016-18
507,6.1593,213.3319,35.9870,2016-18
508,6.3534,213.2301,35.9897,2016-18
509,5.7544,213.3072,35.9852,2016-18
510,5.8932,213.5617,35.9840,2016-18
511,6.0655,213.4786,35.9864,2016-18
512,5.6097,213.4238,35.9824,2016-18
513,7.6437,211.9068,36.0070,2016-18
514,7.5663,211.9133,36.0074,2016-18
515,7.2002,212.0737,36.0051,2016-18
516,7.4329,212.0302,36.0068,2016-18
517,8.6983,211.6312,36.0075,2016-18
518,9.0761,211.5141,36.0089,2016-18
519,8.3212,211.7042,36.0086,2016-18
520,8.8471,211.5408,36.0118,2016-18
521,8.1987,211.7357,36.0102,2016-18
522,14.8206,209.6321,35.9749,2016-18
523,15.2819,209.5787,35.9720,2016-18
524,16.3067,209.1012,35.9582,2016-18
525,13.2803,210.1211,35.9912,2016-18
526,14.2478,209.8788,35.9828,2016-18
527,13.1108,210.1912,35.9954,2016-18
528,10.6211,211.0659,36.0095,2016-18
529,11.5424,210.7334,36.0068,2016-18
530,12.2351,210.4970,36.0047,2016-18
531,11.2640,210.8263,36.0107,2016-18
532,12.9801,210.2668,35.9998,2016-18
533,13.5999,210.0900,35.9930,2016-18
534,9.7280,211.2684,36.0132,2016-18
535,10.1985,211.1125,36.0151,2016-18
536,10.6193,211.0060,36.0153,2016-18
537,24.1518,207.2341,35.8483,2016-18
538,23.2455,206.7804,35.8605,2016-18
539,22.3079,206.6159,35.8706,2016-18
540,21.9287,206.5245,35.8758,2016-18
541,21.4127,206.6154,35.8814,2016-18
542,21.2137,206.5470,35.8859,2016-18
543,21.2464,206.3948,35.8873,2016-18
544,17.7829,208.3718,35.9389,2016-18
545,19.3206,207.4731,35.9156,2016-18
546,20.5315,206.7696,35.8991,2016-18
547,21.0586,206.4587,35.8911,2016-18
548,16.2989,209.2218,35.9588,2016-18
549,17.2770,208.7442,35.9460,2016-18
550,4.7719,213.9041,35.9405,2016-18
551,4.8329,214.0689,35.9389,2016-18
552,4.7521,213.8318,35.9416,2016-18
553,4.7953,214.0175,35.9417,2016-18
554,4.7900,213.7510,35.9460,2016-18
555,4.7598,213.7619,35.9435,2016-18
556,4.5890,213.7547,35.9524,2016-18
557,4.9084,213.8300,35.9498,2016-18
558,4.9352,213.8515,35.9537,2016-18
559,4.9623,213.9224,35.9514,2016-18
560,4.5525,213.6845,35.9556,2016-18
561,4.4322,213.4106,35.9595,2016-18
562,4.4638,213.5093,35.9609,2016-18
563,4.3494,213.2875,35.9635,2016-18
564,5.1690,214.4203,35.9684,2016-18
565,5.0402,213.9314,35.9683,2016-18
566,5.0255,213.9475,35.9632,2016-18
567,4.9654,213.7620,35.9636,2016-18
568,4.9345,213.7659,35.9610,2016-18
569,4.9217,213.7894,35.9572,2016-18
570,5.6385,213.9726,35.9800,2016-18
571,5.4463,214.3134,35.9826,2016-18
572,5.9688,214.4656,35.9707,2016-18
573,5.2572,214.9479,35.9743,2016-18
574,4.9657,213.9151,35.9557,2016-18
575,4.4081,213.3328,35.9711,2016-18
576,4.3962,213.3651,35.9706,2016-18
577,4.4835,213.4799,35.9664,2016-18
578,4.5476,213.5834,35.9647,2016-18
579,4.5609,213.9047,35.9622,2016-18
580,4.6252,213.7505,35.9657,2016-18
581,4.7128,213.8822,35.9654,2016-18
582,4.8203,213.9189,35.9670,2016-18
583,4.9269,213.9283,35.9692,2016-18
584,4.5090,213.4407,35.9594,2016-18
585,4.5124,213.4548,35.9606,2016-18
586,4.4659,213.5261,35.9654,2016-18
587,4.4757,213.3226,35.9620,2016-18
588,4.4668,213.4528,35.9640,2016-18
589,4.4099,213.4276,35.9685,2016-18
590,5.2430,213.8053,35.9763,2016-18
591,5.0229,213.9389,35.9715,2016-18
592,5.1131,213.9137,35.9721,2016-18
593,5.2260,213.8824,35.9760,2016-18
594,5.3902,213.8514,35.9765,2016-18
595,5.4984,213.6015,35.9784,2016-18
596,5.5386,213.7930,35.9802,2016-18
597,6.9712,212.1711,36.0012,2016-18
598,7.1962,212.2377,36.0003,2016-18
599,7.0093,212.3943,36.0029,2016-18
600,7.2365,212.3169,36.0033,2016-18
601,6.8898,212.4906,36.0042,2016-18
602,6.9605,212.7418,36.0028,2016-18
603,6.8945,213.0047,35.9999,2016-18
604,6.6170,213.2885,35.9938,2016-18
605,6.3322,213.5264,35.9909,2016-18
606,5.6887,213.6603,35.9831,2016-18
607,5.8235,213.6840,35.9839,2016-18
608,5.9330,213.7389,35.9850,2016-18
609,6.0924,213.7147,35.9873,2016-18
610,8.1589,211.7113,36.0115,2016-18
611,7.7179,211.9700,36.0091,2016-18
612,8.0391,211.7558,36.0123,2016-18
613,7.7641,212.1790,36.0049,2016-18
614,7.9164,212.0291,36.0082,2016-18
615,7.6774,212.1558,36.0057,2016-18
616,9.3269,211.3747,36.0140,2016-18
617,8.7757,211.5638,36.0137,2016-18
618,9.0295,211.4578,36.0150,2016-18
619,9.4481,211.3018,36.0174,2016-18
620,9.7933,211.1917,36.0180,2016-18
621,8.7015,211.5401,36.0156,2016-18
622,15.2358,209.7167,35.9733,2016-18
623,15.7289,209.5524,35.9664,2016-18
624,14.4856,209.9352,35.9822,2016-18
625,10.9516,210.8732,36.0156,2016-18
626,11.4595,210.7256,36.0157,2016-18
627,11.6620,210.6636,36.0133,2016-18
628,12.1500,210.5012,36.0134,2016-18
629,12.3954,210.4385,36.0077,2016-18
630,12.7952,210.3197,36.0070,2016-18
631,13.2274,210.1960,36.0000,2016-18
632,13.8661,210.0577,35.9928,2016-18
