Cell,Age,Oxy,Sal,Period
434,17.5231,242.1691,35.1872,2016-18
435,17.4104,242.1629,35.1903,2016-18
436,17.2575,242.1521,35.1926,2016-18
437,17.3043,242.4287,35.1901,2016-18
438,18.6396,241.2198,35.1926,2016-18
439,18.3018,241.1767,35.1986,2016-18
440,18.0446,241.2632,35.2025,2016-18
441,18.5629,241.4578,35.1910,2016-18
442,18.4378,241.3479,35.1955,2016-18
443,17.9279,241.9001,35.1947,2016-18
444,18.1976,241.5482,35.1962,2016-18
445,17.7152,242.1142,35.1899,2016-18
446,17.5573,242.0203,35.1960,2016-18
447,17.2655,241.9756,35.2018,2016-18
448,17.3362,241.8880,35.2036,2016-18
449,17.2591,242.2895,35.1931,2016-18
450,17.0754,242.2410,35.1971,2016-18
451,16.7559,240.9127,35.2193,2016-18
452,17.4692,241.3362,35.2096,2016-18
453,16.8910,241.2180,35.2193,2016-18
454,17.1079,241.1505,35.2179,2016-18
455,17.0924,241.2068,35.2194,2016-18
456,17.1073,241.6106,35.2188,2016-18
457,17.7091,241.4408,35.2079,2016-18
458,17.3256,241.5394,35.2142,2016-18
459,16.7871,241.7793,35.2226,2016-18
460,17.5444,241.5154,35.2099,2016-18
461,20.9117,246.2549,35.0722,2016-18
462,20.7390,246.2411,35.0753,2016-18
463,20.9607,246.2021,35.0691,2016-18
464,20.4705,246.1216,35.0749,2016-18
465,20.6874,245.9352,35.0709,2016-18
466,20.6410,246.0280,35.0746,2016-18
467,20.1894,246.0810,35.0678,2016-18
468,19.4131,245.8487,35.0627,2016-18
469,20.7144,245.6879,35.0611,2016-18
470,20.4218,245.7464,35.0745,2016-18
471,21.1403,246.9383,35.0286,2016-18
472,20.5903,246.0837,35.0463,2016-18
473,20.5278,245.7540,35.0539,2016-18
474,21.6734,248.0405,35.0006,2016-18
475,21.0303,247.1518,35.0363,2016-18
476,21.3256,247.8598,34.9597,2016-18
477,20.2680,245.6165,35.0709,2016-18
478,19.9335,245.1620,35.0428,2016-18
479,17.2352,243.9214,35.0891,2016-18
480,18.6891,244.7844,35.0551,2016-18
481,20.2445,245.4118,35.0269,2016-18
482,20.2333,245.5283,35.0186,2016-18
483,20.6334,245.3606,35.0204,2016-18
484,20.4169,245.3548,35.0174,2016-18
485,20.5818,245.1115,35.0225,2016-18
486,20.8766,244.9184,35.0242,2016-18
487,18.1418,245.2348,35.0770,2016-18
488,17.0346,244.5244,35.1000,2016-18
489,16.8065,244.0967,35.1027,2016-18
490,15.5649,243.1911,35.1311,2016-18
491,16.1962,243.3504,35.1115,2016-18
492,20.5634,243.8898,35.0808,2016-18
493,20.8081,244.6904,35.0354,2016-18
494,20.6729,244.3761,35.0530,2016-18
495,19.8673,243.4220,35.1036,2016-18
496,19.3419,242.7529,35.1345,2016-18
497,18.8184,242.1658,35.1609,2016-18
498,19.5416,243.0512,35.1191,2016-18
499,18.4714,241.7447,35.1742,2016-18
500,16.4149,240.7082,35.2202,2016-18
501,16.4971,240.4534,35.2177,2016-18
502,16.2025,240.1418,35.2252,2016-18
503,16.0115,240.1140,35.2271,2016-18
504,15.9920,240.1412,35.2274,2016-18
505,16.1104,240.4825,35.2236,2016-18
506,16.6715,241.0475,35.2055,2016-18
507,17.6153,241.6900,35.1792,2016-18
508,17.1020,241.6252,35.1879,2016-18
509,18.1557,241.6556,35.1740,2016-18
510,18.1981,242.2612,35.1574,2016-18
511,17.6028,242.1470,35.1696,2016-18
512,18.7274,242.2269,35.1525,2016-18
513,16.6150,241.7998,35.2086,2016-18
514,15.3338,241.1961,35.2383,2016-18
515,14.6356,240.5354,35.2542,2016-18
516,13.8123,240.6446,35.2692,2016-18
517,16.9837,242.4854,35.1962,2016-18
518,16.9634,242.5089,35.1965,2016-18
519,16.6618,242.3495,35.2035,2016-18
520,16.3764,242.4429,35.2074,2016-18
521,15.6362,241.9018,35.2265,2016-18
522,18.0327,241.4019,35.2024,2016-18
523,17.6553,241.4312,35.2082,2016-18
524,17.1666,241.5076,35.2150,2016-18
525,17.8462,241.5191,35.2026,2016-18
526,17.9111,241.3747,35.2036,2016-18
527,17.2343,241.4932,35.2116,2016-18
528,16.5332,242.1423,35.2088,2016-18
529,16.7148,241.8624,35.2121,2016-18
530,16.4253,241.6858,35.2189,2016-18
531,15.9332,241.8739,35.2211,2016-18
532,16.0794,241.2779,35.2284,2016-18
533,16.8290,241.3656,35.2187,2016-18
534,16.6003,242.4580,35.2035,2016-18
535,16.0341,242.2792,35.2149,2016-18
536,15.8756,242.1079,35.2189,2016-18
537,16.2168,240.9362,35.2279,2016-18
538,16.7657,241.4396,35.2223,2016-18
539,16.0128,241.2245,35.2346,2016-18
540,16.1128,241.0325,35.2346,2016-18
541,16.1096,241.1440,35.2359,2016-18
542,16.4496,241.8053,35.2288,2016-18
543,16.0758,241.9172,35.2337,2016-18
544,17.0238,241.8024,35.2173,2016-18
545,16.6500,242.0793,35.2223,2016-18
546,16.2088,242.3128,35.2282,2016-18
547,15.9788,242.2547,35.2329,2016-18
548,16.8206,241.5789,35.2197,2016-18
549,16.4587,241.6349,35.2244,2016-18
550,19.9872,245.8140,35.0911,2016-18
551,19.9098,245.8008,35.0905,2016-18
552,19.9847,245.7816,35.0930,2016-18
553,19.6643,245.7147,35.0866,2016-18
554,20.0321,245.8189,35.0917,2016-18
555,19.7023,245.6320,35.0990,2016-18
556,19.4028,245.7090,35.0798,2016-18
557,19.9719,245.7319,35.0922,2016-18
558,20.0918,245.6331,35.0834,2016-18
559,19.6948,245.5361,35.0979,2016-18
560,18.3213,245.2396,35.0908,2016-18
561,18.1133,245.2394,35.0857,2016-18
562,17.3084,244.8366,35.1023,2016-18
563,16.8998,244.6321,35.1090,2016-18
564,19.9462,246.0973,35.0777,2016-18
565,20.1690,246.0157,35.0684,2016-18
566,20.0629,245.7628,35.0734,2016-18
567,20.1988,245.7178,35.0689,2016-18
568,19.5154,245.3999,35.0938,2016-18
569,19.7743,245.4950,35.0881,2016-18
570,21.4874,248.3620,35.0233,2016-18
571,20.6274,247.3276,35.0570,2016-18
572,21.5336,248.4135,34.9621,2016-18
573,19.0253,245.8542,35.1105,2016-18
574,19.4869,245.4315,35.1017,2016-18
575,18.7930,245.0263,35.0456,2016-18
576,17.6200,244.4581,35.0731,2016-18
577,18.8140,245.2261,35.0406,2016-18
578,19.7721,245.5233,35.0212,2016-18
579,19.8023,245.6126,35.0176,2016-18
580,20.1550,245.4493,35.0159,2016-18
